source_value,source_type,pyth_id,pythnet_id,pyth_lazer_id,valid_from,valid_to,ticker,asset_full_name,asset_class
TQQQ.O,RIC,equity.tqqq,Equity.US.TQQQ/USD,1745,1970-01-01 00:00:00,,TQQQ,PROSHARES ULTRAPRO QQQ / US DOLLAR,Common Stock
SQQQ.O,RIC,equity.sqqq,Equity.US.SQQQ/USD,1744,1970-01-01 00:00:00,,SQQQ,PROSHARES ULTRAPRO SHORT QQQ / US DOLLAR,Common Stock
TLT.O,RIC,equity.tlt,Equity.US.TLT/USD,1425,1970-01-01 00:00:00,,TLT,ISHARES 20+ YEAR TREASURY BOND ETF / US DOLLAR,Equity
SOXX.O,RIC,equity.soxx,Equity.US.SOXX/USD,1739,1970-01-01 00:00:00,,SOXX,ISHARES SEMICONDUCTOR ETF / US DOLLAR,Equity
RKLB.O,RIC,equity.rklb,Equity.US.RKLB/USD,1373,1970-01-01 00:00:00,,RKLB,ROCKET LAB USA INC / US DOLLAR,Common Stock
TSLL.O,RIC,equity.tsll,Equity.US.TSLL/USD,2377,1970-01-01 00:00:00,,TSLL,DIREXION DAILY TSLA BULL 2X SHARES / US DOLLAR,Common Stock
VCIT.O,RIC,equity.vcit,Equity.US.VCIT/USD,1752,1970-01-01 00:00:00,,VCIT,VANGUARD INTERMEDIATE-TERM CORP BOND ETF / US DOLLAR,Equity
NVDL.O,RIC,equity.nvdl,Equity.US.NVDL/USD,2368,1970-01-01 00:00:00,,NVDL,GRANITESHARES 2X LONG NVDA DAILY ETF / US DOLLAR,Equity
PDD.O,RIC,equity.pdd,Equity.US.PDD/USD,1335,1970-01-01 00:00:00,,PDD,PDD HOLDINGS INC / US DOLLAR,Common Stock
VXUS.O,RIC,equity.vxus,Equity.US.VXUS/USD,1771,1970-01-01 00:00:00,,VXUS,VANGUARD TOTAL INTL STOCK ETF / US DOLLAR,Equity
BND.O,RIC,equity.bnd,Equity.US.BND/USD,1679,1970-01-01 00:00:00,,BND,VANGUARD TOTAL BOND MKT ETF / US DOLLAR,Equity
TEAM.O,RIC,equity.team,Equity.US.TEAM/USD,1417,1970-01-01 00:00:00,,TEAM,ATLASSIAN CORPORATION / US DOLLAR,Common Stock
MDB.O,RIC,equity.mdb,Equity.US.MDB/USD,1267,1970-01-01 00:00:00,,MDB,MONGODB INC / US DOLLAR,Common Stock
VCSH.O,RIC,equity.vcsh,Equity.US.VCSH/USD,1753,1970-01-01 00:00:00,,VCSH,VANGUARD SHORT-TERM CORP BOND ETF / US DOLLAR,Equity
MARA.O,RIC,equity.mara,Equity.US.MARA/USD,1260,1970-01-01 00:00:00,,MARA,MARATHON DIGITAL HOLDINGS INC / US DOLLAR,Common Stock
NVD.O,RIC,equity.nvd,Equity.US.NVD/USD,2367,1970-01-01 00:00:00,,NVD,GRANITESHARES 2X SHORT NVDA DAILY ETF / US DOLLAR,Equity
ZS.O,RIC,equity.zs,Equity.US.ZS/USD,1504,1970-01-01 00:00:00,,ZS,ZSCALER INC / US DOLLAR,Common Stock
V.N,RIC,equity.v,Equity.US.V/USD,1467,1970-01-01 00:00:00,,V,VISA INC / US DOLLAR,Common Stock
JEPQ.O,RIC,equity.jepq,Equity.US.JEPQ/USD,1708,1970-01-01 00:00:00,,JEPQ,JPMORGAN NASDAQ EQUITY PREMIUM INCOME ETF / US DOLLAR,Equity
BNDX.O,RIC,equity.bndx,Equity.US.BNDX/USD,1680,1970-01-01 00:00:00,,BNDX,VANGUARD TOTAL INTL BOND ETF / US DOLLAR,Equity
TEM.O,RIC,equity.tem,Equity.US.TEM/USD,2375,1970-01-01 00:00:00,,TEM,TEMPUS AI INC / US DOLLAR,Common Stock
IWM.N,RIC,equity.iwm,Equity.US.IWM/USD,1215,1970-01-01 00:00:00,,IWM,ISHARES RUSSELL 2000 ETF / US DOLLAR,Equity
EXC.O,RIC,equity.exc,Equity.US.EXC/USD,1121,1970-01-01 00:00:00,,EXC,EXELON CORPORATION / US DOLLAR,Common Stock
VGIT.O,RIC,equity.vgit,Equity.US.VGIT/USD,1756,1970-01-01 00:00:00,,VGIT,VANGUARD INTERMEDIATE-TERM TREASURY ETF / US DOLLAR,Equity
TSLQ.O,RIC,equity.tslq,Equity.US.TSLQ/USD,1747,1970-01-01 00:00:00,,TSLQ,TRADR 2X SHORT TSLA DAILY ETF / US DOLLAR,Equity
FIGR.O,RIC,equity.figr,Equity.US.FIGR/USD,2357,1970-01-01 00:00:00,,FIGR,FIGURE TECHNOLOGY SOLUTIONS INC / US DOLLAR,Common Stock
FOXA.O,RIC,equity.foxa,Equity.US.FOXA/USD,1141,1970-01-01 00:00:00,,FOXA,FOX CORPORATION / US DOLLAR,Common Stock
MCHI.O,RIC,equity.mchi,Equity.US.MCHI/USD,1263,1970-01-01 00:00:00,,MCHI,ISHARES MSCI CHINA ETF / US DOLLAR,Equity
ARKB.K,RIC,equity.arkb,Equity.US.ARKB/USD,966,1970-01-01 00:00:00,,ARKB,ARK 21SHARES BITCOIN ETF / US DOLLAR,Equity
